Age,Income,Credit_Score,Country
46,53552.15,665,Canada
28,39612.87,653,Canada
52,45641.63,714,USA
54,73155.91,704,Canada
18,55074.13,613,Canada
25,64098.93,752,USA
44,74356.33,685,USA
38,46462.92,629,USA
42,77296.2,755,USA
31,65223.01,724,USA
53,31552.96,620,USA
52,105253.35,788,USA
43,43903.68,726,Canada
57,26115.79,689,Canada
48,34365.86,777,USA
31,34739.0,699,USA
47,56306.57,688,USA
30,48623.18,654,USA
53,47264.47,722,Canada
41,72689.65,716,Canada
40,64089.28,691,Canada
33,63405.76,647,Canada
58,66138.83,697,Canada
40,72573.06,686,USA
36,21301.0,617,USA
37,46680.94,609,USA
49,20619.53,721,USA
47,55899.76,547,USA
47,54885.45,701,USA
48,88042.77,664,Canada
70,93856.65,762,USA
37,60254.78,663,Canada
35,43911.26,726,Canada
31,68419.35,668,USA
50,43370.1,696,USA
57,54965.54,731,USA
41,85720.72,665,USA
31,42791.35,745,USA
31,79034.82,635,Canada
50,74601.74,706,USA
52,35790.3,741,USA
49,85249.78,726,USA
33,75315.66,795,USA
45,57581.41,648,USA
44,39028.32,614,USA
45,37363.36,635,USA
53,43180.33,726,USA
45,70210.7,717,USA
51,35776.88,696,USA
43,66967.92,628,USA
46,31454.54,732,USA
50,50174.27,623,USA
23,57781.85,754,USA
38,165280.12,847,USA
36,29593.1,710,USA
34,106669.98,722,USA
38,58836.49,663,USA
61,66178.83,590,USA
31,58008.51,657,Canada
55,67185.69,630,USA
20,51324.84,610,Canada
38,105811.14,785,USA
44,44787.15,705,USA
50,91545.74,711,USA
51,41155.93,673,Canada
52,53528.8,680,Canada
37,33952.08,743,USA
36,67497.72,688,Canada
53,105387.06,719,USA
40,53118.37,679,USA
25,50336.71,671,USA
27,33306.6,613,Canada
30,49607.97,581,USA
48,26858.32,676,Canada
44,36471.75,693,USA
51,60909.36,619,USA
36,99572.81,688,USA
44,194703.54,693,Canada
50,42240.1,571,USA
38,104922.11,640,USA
48,61376.18,712,USA
33,51381.17,711,USA
37,66819.88,627,USA
37,56553.98,699,USA
26,57801.3,746,USA
48,45767.91,733,USA
36,29317.48,685,USA
42,27459.22,664,Canada
48,73795.18,655,USA
48,48560.87,716,Canada
51,42059.83,701,Canada
41,55210.92,725,USA
36,78653.54,697,USA
41,59650.17,735,USA
20,40940.04,695,USA
23,95503.7,733,USA
25,111940.41,738,USA
29,68709.24,646,USA
47,85240.93,591,USA
30,96179.4,775,Canada
37,91457.82,704,USA
59,72506.62,596,USA
37,71994.47,651,Canada
52,69489.83,732,USA
30,33566.59,675,USA
39,75388.79,662,Canada
30,29880.82,767,USA
38,38465.57,632,USA
53,98883.01,646,USA
20,80272.91,702,Canada
48,107410.98,711,USA
45,48670.82,717,USA
34,32747.32,740,USA
23,49359.81,701,USA
43,57584.14,717,USA
35,56990.13,676,USA
45,91605.32,693,Canada
42,46747.53,696,USA
63,64440.91,702,USA
39,35249.49,732,USA
29,67354.92,721,USA
44,55076.99,692,USA
45,39248.66,645,USA
60,49462.26,694,USA
53,50625.43,688,USA
47,48704.11,701,USA
61,122050.73,811,USA
27,52616.64,661,USA
34,49283.04,713,Canada
30,21401.91,749,Canada
37,36779.47,695,Canada
